card_type,card_company,card_name,card_benefit_type,card_img,card_top_category,card_category,card_required,card_domestic,card_abroad,communication,shopping,culture,transportation,food,education,utilities,aviation,medical,others
신용,KB국민카드,골프존 KB국민카드,할인형,https://api.card-gorilla.com:8080/storage/card/1339/card_img/20836/1339card.png,"골프, 골프, 주유소","기타, 레저/스포츠, 뷰티/피트니스, 주유, 통신, 푸드",300000,12000,17000,0.125,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.75
신용,롯데카드,뉴GS칼텍스 롯데카드,포인트형,https://api.card-gorilla.com:8080/storage/card/1754/card_img/22360/1754card.jpg,"주유소, 헤어, 테마파크","기타, 레저/스포츠, 마트/편의점, 뷰티/피트니스, 쇼핑, 영화/문화, 주유, 카페/디저트, 푸드",0,5000,0,0.0,0.18181818181818182,0.09090909090909091,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.5454545454545454
신용,신한카드,대성학원 신한카드,할인형,https://api.card-gorilla.com:8080/storage/card/2608/card_img/31237/2608card.png,"교육/육아, 주유, 테마파크","교육/육아, 기타, 레저/스포츠, 주유",300000,30000,33000,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666
신용,신한카드,땡겨요 신한카드,포인트형,https://api.card-gorilla.com:8080/storage/card/2331/card_img/24277/2331card.png,"배달앱, 마트/편의점, ","마트/편의점, 푸드",300000,0,0,0.07142857142857142,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142
신용,삼성카드,라이프파트너 삼성카드,할인형,https://api.card-gorilla.com:8080/storage/card/1884/card_img/28083/1884card.png,"보험사, 보험사, 주유","금융, 마트/편의점, 병원/약국, 영화/문화, 주유",300000,20000,20000,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.625
신용,KB국민카드,모두투어 투어마일리지 KB국민카드,포인트형,https://api.card-gorilla.com:8080/storage/card/1381/card_img/20762/1381card.png,"여행사, 푸드, 테마파크","기타, 레저/스포츠, 여행/숙박, 영화/문화, 카페/디저트, 푸드",0,0,15000,0.0,0.1111111111111111,0.1111111111111111,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.4444444444444444
신용,NH농협카드,부자되세요 HomeShopping카드(비씨),할인형,https://api.card-gorilla.com:8080/storage/card/176/card_img/20391/176card.png,"쇼핑, 카페/디저트, 영화/문화","쇼핑, 영화/문화, 카페/디저트, 푸드",200000,0,10000,0.0,0.2857142857142857,0.2857142857142857,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0
신용,삼성카드,삼성카드 애니패스+,할인형,https://api.card-gorilla.com:8080/storage/card/57/card_img/28051/57card.png,"영화, 카페, 푸드","교통, 레저/스포츠, 마트/편의점, 모든가맹점, 영화/문화, 자동차/하이패스, 주유, 카페/디저트, 푸드, 프리미엄",500000,0,0,0.0,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.3076923076923077,0.0,0.0,0.0,0.0,0.23076923076923078
신용,신한카드,신한카드 Puzzle,포인트형,https://api.card-gorilla.com:8080/storage/card/2231/card_img/21350/2231card.png,"모든가맹점, 기타, 선택형","간편결제, 교육/육아, 교통, 기타, 마트/편의점, 멤버십포인트, 모든가맹점, 뷰티/피트니스, 쇼핑, 애완동물, 영화/문화, 주유, 카페/디저트, 푸드",0,15000,18000,0.0,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.0,0.0,0.0,0.4
신용,씨티카드,씨티 메가마일 아시아나,마일리지형,https://api.card-gorilla.com:8080/storage/card/504/card_img/21193/504card.png,"아시아나항공, 영화, 여행/숙박","교육/육아, 교통, 마트/편의점, 뷰티/피트니스, 쇼핑, 여행/숙박, 영화/문화, 주유, 카페/디저트, 통신, 푸드, 프리미엄, 항공마일리지",0,8000,0,0.0625,0.125,0.125,0.0625,0.125,0.0625,0.0,0.125,0.0,0.3125
